RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
3161,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
3123,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
14197,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
1833,E_yanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
1760,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4520,E_ivri.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
1846,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
323090,E_shaharHasson.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
2012,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
22335,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,3,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
5011,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
7919,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
2994,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
11656,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
3527,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
7465,E_katorza.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
5611,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
2944,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
42771,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
2624,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
8025,E_shaniCo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
5602,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
