RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
5986,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
4993,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
4136,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
2441,E_shaniCo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
4652,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
4055,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
4324,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
3930,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
2773,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
4585,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
3723,E_harLev.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
2518,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
3774,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
2903,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
3519,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
2683,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
3317,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
4521,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
6337,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
3421,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
6807,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
8969,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
8284,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
9920,E_rita.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
3762,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
2502,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
5510,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
2245,P_peretz.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
12813,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
12757,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
3634,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
3886,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
4451,E_shaharHasson.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6036906e5b4bac4295d49731,"06/16/2022, 15:21:22"
