RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
12370,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
5898,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
2650,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
3777,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
3598,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
3079,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
2799,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
2847,E_shaniCo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
3395,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
2233,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
9260,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
2925,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
2394,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
2209,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
2095,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
2108,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
5115,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
2518,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
2126,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
2825,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
2684,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
2506,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
4730,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
22039,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
9557,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
9502,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
14615,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
7655,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
12355,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
3231,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
2183,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
5815,E_moniMo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
4233,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
8695,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
2178,E_shaniCo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
2390,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
10708,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
5202,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
3934,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
14242,E_alfi.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
9559,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
4670,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
3943,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
1536,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
3527,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
3318,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
3467,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5c0d109e73986d0001785b39,"06/18/2022, 13:28:18"
