RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
6487,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5921,E_shaniCo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4160,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5767,P_michaeli.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4618,E_shaharHasson.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
7090,E_ivri.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4908,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
6584,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
7938,P_benet.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
8761,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,2,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5284,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5656,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
8136,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
8983,E_shaniCo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
8626,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3681,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4275,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5360,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5644,P_yehimovitz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
7017,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
7051,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3805,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
2996,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5628,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3144,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3558,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4432,E_shaniCo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3967,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
6858,E_rita.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
6752,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
6081,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
7830,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
14752,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3401,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
6858,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
7538,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3431,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5694,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4762,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
6612,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3698,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4922,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5629,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3835,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4119,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
9778,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5354,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
6752,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3350,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3702,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
6137,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3425,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3957,P_peretz.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3511,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4146,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4159,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3852,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3235,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3591,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4768,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3193,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
2926,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
91055,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4451,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5024,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
2767,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4544,E_moniMo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
7995,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5143,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3316,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
6809,E_shaniCo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3444,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5529,P_lapid.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3431,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3379,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
2632,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5228,E_shaniCo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4451,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5063,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
2742,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5522,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4409,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5631,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5927,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5420,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5884,E_ornaBanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
7728,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3741,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
10773,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3224,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
2652,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
