RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
1454,E_shaniCo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2118,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
3435,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
3373,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
9185,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
5307,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,2,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2194,E_harLev.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2110,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2424,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2276,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
4784,E_shaharHasson.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
3507,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2396,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2657,P_benet.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
3039,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2154,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2674,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
1773,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
3423,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
23699,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
3650,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2830,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2278,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2190,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2670,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2037,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,4,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
3406,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2872,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2443,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
7471,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2239,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
3281,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2308,E_moniMo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2382,E_alfi.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2466,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2630,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
