RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
1696,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2154,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3429,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
1708,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3395,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2982,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
1881,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
4008,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3373,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
6859,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
4250,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2015,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3112,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3456,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2124,E_shaniCo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
6670,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,2,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
77308,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
1969,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
4765,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3465,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3407,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2121,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2362,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2510,P_benet.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3672,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,2,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2927,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3175,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
