RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
20278,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
4439,E_moniMo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
8350,E_alfi.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
5464,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3697,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3536,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
4934,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2898,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3017,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
7591,E_shaniCo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
6550,E_katorza.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
4905,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3299,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2918,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3553,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2711,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3418,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
4152,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3302,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3280,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2225,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2662,E_shaniCo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2127,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3978,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2813,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3284,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2530,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
6028,P_liberman.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
4253,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3567,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
4471,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3398,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3362,E_harLev.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3438,E_rita.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2384,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2848,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
4401,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2567,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3686,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3735,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2900,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
4048,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3064,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2649,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
5672,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3471,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3209,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
5334,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
