RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
3085,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1809,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
3619,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2661,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2579,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2314,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1544,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1773,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1968,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1837,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1574,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2605,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2594,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
3016,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1438,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2821,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
3054,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1400,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
3074,P_shaked.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1359,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1453,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
3238,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
5660,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1441,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2268,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1906,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1853,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
4386,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
