RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
5784,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
4511,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
2915,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
3294,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
3030,E_alfi.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
3204,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
3453,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
6155,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
2454,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
13443,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
2123,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
4326,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
2898,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
2033,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
1707,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
3965,E_shaniCo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
3773,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
2044,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
2216,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
1461,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
2539,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
1393,E_rita.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
1566,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f02e960116f971695edc5cc,"06/16/2022, 18:19:36"
