RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
8410,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
4033,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2844,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2664,E_alfi.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
5006,P_shaked.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,4,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2515,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
3019,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
3862,P_michaeli.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,3,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2605,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2115,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2172,E_moniMo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2124,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
5738,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2145,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1882,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2004,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2913,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
3053,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2895,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1817,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1996,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1924,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2275,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
3150,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2853,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
