"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","normlised_keyPress","age","gender","handedness","isFamiliar_img1","isFamiliar_img2","vividness_img1","vividness_img2","reject_trial","pair"
4060,"E_M_M_Ivri.jpg","E_C_F_ornaBanai.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","F","6","5ba8d21cd08ab20001c82ecf","08/06/2022, 16:32:57",0.968922079098579,"31","M","right",0,1,0,0,TRUE,"E_C_F_ornaBanai.jpg E_M_M_Ivri.jpg"
3984,"P_P_M_liberman.jpg","P_P_M_smootrich.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","5","5ba8d21cd08ab20001c82ecf","08/06/2022, 16:32:57",0.0752560838134821,"31","M","right",1,1,0,0,TRUE,"P_P_M_liberman.jpg P_P_M_smootrich.jpg"
2939,"P_N_M_lapid.jpg","P_P_F_shaked.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","F","6","5ba8d21cd08ab20001c82ecf","08/06/2022, 16:32:57",0.968922079098579,"31","M","right",1,1,0,0,TRUE,"P_N_M_lapid.jpg P_P_F_shaked.jpg"
3357,"E_C_F_ornaBanai.jpg","P_P_F_michaeliM.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","5","5ba8d21cd08ab20001c82ecf","08/06/2022, 16:32:57",0.0752560838134821,"31","M","right",1,1,0,0,TRUE,"E_C_F_ornaBanai.jpg P_P_F_michaeliM.jpg"
4291,"E_M_F_rita.jpg","P_P_M_liberman.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","5ba8d21cd08ab20001c82ecf","08/06/2022, 16:32:57",0.968922079098579,"31","M","right",0,1,0,0,TRUE,"E_M_F_rita.jpg P_P_M_liberman.jpg"
3531,"E_C_M_mushonov.jpg","P_P_F_michaeliM.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","6","5ba8d21cd08ab20001c82ecf","08/06/2022, 16:32:57",0.968922079098579,"31","M","right",0,1,0,0,TRUE,"E_C_M_mushonov.jpg P_P_F_michaeliM.jpg"
5089,"E_C_M_shaharHasson.jpg","P_P_M_smootrich.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","3","5ba8d21cd08ab20001c82ecf","08/06/2022, 16:32:57",-1.71207590675671,"31","M","right",1,1,0,0,TRUE,"E_C_M_shaharHasson.jpg P_P_M_smootrich.jpg"
6991,"E_C_M_mushonov.jpg","P_P_M_benet.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","5","5ba8d21cd08ab20001c82ecf","08/06/2022, 16:32:57",0.0752560838134821,"31","M","right",0,1,0,0,TRUE,"E_C_M_mushonov.jpg P_P_M_benet.jpg"
3920,"E_C_M_alfi.jpg","E_C_M_katorza.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M","4","5ba8d21cd08ab20001c82ecf","08/06/2022, 16:32:57",-0.818409911471615,"31","M","right",1,1,0,0,TRUE,"E_C_M_alfi.jpg E_C_M_katorza.jpg"
4622,"P_P_M_smootrich.jpg","P_N_F_yehimovitz.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","F","6","5ba8d21cd08ab20001c82ecf","08/06/2022, 16:32:57",0.968922079098579,"31","M","right",1,1,0,0,TRUE,"P_N_F_yehimovitz.jpg P_P_M_smootrich.jpg"
