RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
3712,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
4216,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
3652,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
4213,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
3044,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
4416,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2743,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2419,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
5604,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
3853,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2266,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2395,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2748,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2964,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2457,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2525,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
3480,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2352,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
4835,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
3925,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
3082,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2696,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2867,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
4167,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
4197,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2247,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2503,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2422,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
4226,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
5526,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
4523,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2533,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
5136,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2792,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
3326,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2743,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2518,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2755,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
3064,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
3719,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
4134,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2128,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2501,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2943,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
