RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3052,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
5084,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3709,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3455,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
5919,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3581,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2828,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
8481,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2908,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3834,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
4009,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2054,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
5278,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
9141,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
4875,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
39958,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3020,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2429,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2139,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3495,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1567,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1709,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2177,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
4049,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1878,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
