RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608489b0f443591db476893d,"04/26/2022, 07:43:23"
3519,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2477,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2479,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2249,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
27146,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
3061,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608489b0f443591db476893d,"04/26/2022, 07:43:23"
37322,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2571,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2445,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2480,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,608489b0f443591db476893d,"04/26/2022, 07:43:23"
1971,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608489b0f443591db476893d,"04/26/2022, 07:43:23"
5252,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
4257,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
3705,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,608489b0f443591db476893d,"04/26/2022, 07:43:23"
59017,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
3062,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
3962,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2093,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2743,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2252,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,608489b0f443591db476893d,"04/26/2022, 07:43:23"
3070,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2353,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2044,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,608489b0f443591db476893d,"04/26/2022, 07:43:23"
3029,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2955,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,608489b0f443591db476893d,"04/26/2022, 07:43:23"
3366,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
3118,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,608489b0f443591db476893d,"04/26/2022, 07:43:23"
3917,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2829,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2173,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2274,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2132,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2525,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2459,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2685,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
1883,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2144,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2111,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2842,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2459,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
9062,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,608489b0f443591db476893d,"04/26/2022, 07:43:23"
4856,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
3137,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2272,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2967,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
