RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f5b8a0de610d92df74219d7,"04/26/2022, 07:18:21"
5911,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f5b8a0de610d92df74219d7,"04/26/2022, 07:18:21"
2965,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f5b8a0de610d92df74219d7,"04/26/2022, 07:18:21"
4963,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5f5b8a0de610d92df74219d7,"04/26/2022, 07:18:21"
3445,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f5b8a0de610d92df74219d7,"04/26/2022, 07:18:21"
3963,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5f5b8a0de610d92df74219d7,"04/26/2022, 07:18:21"
3080,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f5b8a0de610d92df74219d7,"04/26/2022, 07:18:21"
3727,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f5b8a0de610d92df74219d7,"04/26/2022, 07:18:21"
2935,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f5b8a0de610d92df74219d7,"04/26/2022, 07:18:21"
4641,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f5b8a0de610d92df74219d7,"04/26/2022, 07:18:21"
3728,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f5b8a0de610d92df74219d7,"04/26/2022, 07:18:21"
2645,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f5b8a0de610d92df74219d7,"04/26/2022, 07:18:21"
3097,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f5b8a0de610d92df74219d7,"04/26/2022, 07:18:21"
3130,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f5b8a0de610d92df74219d7,"04/26/2022, 07:18:21"
