RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5be018521142ce000192472b,"04/26/2022, 07:40:24"
5997,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3313,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5be018521142ce000192472b,"04/26/2022, 07:40:24"
4478,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
6199,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3529,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3961,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
4979,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
9345,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5be018521142ce000192472b,"04/26/2022, 07:40:24"
5062,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3263,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5be018521142ce000192472b,"04/26/2022, 07:40:24"
6817,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
27384,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5be018521142ce000192472b,"04/26/2022, 07:40:24"
22866,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
13346,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
5145,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5be018521142ce000192472b,"04/26/2022, 07:40:24"
6211,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
8696,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
7862,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5be018521142ce000192472b,"04/26/2022, 07:40:24"
4213,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
5995,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3729,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
8862,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
9146,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3248,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
6695,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
2645,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
5761,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3148,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
6045,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
22396,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
10129,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3132,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
2845,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
