RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
28336,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
4556,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
5740,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
4042,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
4357,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3277,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3199,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2738,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2610,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
4523,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3509,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2755,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
