RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3704,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3104,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
2814,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4768,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
2769,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3528,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
5113,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
5189,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3618,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
5636,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3625,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
7547,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4551,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
6658,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3271,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4056,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
7351,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
5605,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
2919,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
8579,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
6870,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3405,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
6313,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4509,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3155,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3086,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
5353,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3502,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4091,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3830,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
2957,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3859,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3348,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
5205,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3132,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4346,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4866,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3027,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
5070,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3963,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3920,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
10065,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3602,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3817,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
5014,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3810,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3393,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4402,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
2998,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4611,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
2839,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4399,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
5864,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3115,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
5026,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3000,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3376,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4792,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3875,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3205,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3486,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
2557,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
5915,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3313,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4431,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3199,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4007,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3131,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3456,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
5747,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3210,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
7984,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3510,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4465,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3480,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
2737,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3841,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3822,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3097,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
5446,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
7696,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3176,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
