RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
8369,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
5214,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
4498,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
2858,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
3109,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
4484,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
4412,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
3171,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
6636,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
8298,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
7831,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
36095,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
10947,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
3696,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
2995,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
6148,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
17744,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
6665,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
3315,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
3234,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
5440,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
3055,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
3976,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
5294,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
3007,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
3754,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
