RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
2949,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4837,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5700,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
7366,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3637,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3660,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5804,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3021,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3353,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
17312,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3638,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
12423,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5473,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
7081,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3703,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3674,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
2573,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3126,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4351,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
8301,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4079,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
8239,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
2818,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5275,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
2947,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3348,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4122,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3244,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3309,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
2980,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
7434,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3202,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3132,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3873,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4649,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
2810,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
6758,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3113,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
2978,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3085,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4873,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
6293,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3317,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
11571,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3120,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3630,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
2784,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
2612,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5183,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3486,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4028,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3846,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
file,isFamiliar,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
P_M_donald_trump.jpg,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
E_F_angelina_jolie.jpg,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
P_F_hillary_clinton.jpg,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
E_M_Hugh_Grant.jpg,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
P_M_bill_clinton.jpg,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
E_F_jennifer_aniston.jpg,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
E_M_robert_de_niro.jpg,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
P_F_nicola_sturgeon.jpg,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
P_F_tehresy_may.jpg,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
E_M_michael_caine.jpg,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
E_M_tom_hankes.jpg,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
P_M_boris_johnson.jpg,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
P_M_Tony_Blair.jpg,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
E_F_keira_knightley.jpg,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
E_F_Judi_Dench.jpg,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
P_M_david_cameron.jpg,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
E_F_sandra_bullock.jpg,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
E_M_nicolas_cage.jpg,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
P_M_george_Wbush.jpg,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
E_F_Kate_Winslet.jpg,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
age: 31,gender: Female,handedness: left,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
