RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4790,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5473,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4709,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5495,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5823,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5239,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5761,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4586,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4226,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4942,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3647,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3174,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
14755,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3711,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5280,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5337,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4757,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
7790,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
6066,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5433,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
7189,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4960,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
9756,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4600,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
6925,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4608,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3515,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4912,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
6600,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4796,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5827,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
7595,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
8172,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3470,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4700,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4543,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3782,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5200,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5530,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3237,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
6808,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
6227,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
7748,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5272,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3132,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
16101,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
8003,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
6682,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4482,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5113,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
7037,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4914,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4908,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
12241,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
11796,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4629,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4184,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3849,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
6137,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3510,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3750,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5628,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5707,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
6772,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5715,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4482,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4471,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
16412,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
7761,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
6608,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3433,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
