RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2819,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
12992,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
6269,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
4493,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
5623,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
4152,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2958,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2397,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2404,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2024,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
3129,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
4025,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2967,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2859,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
1893,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2254,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2731,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
1829,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2578,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2182,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2323,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
1869,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
3075,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
3178,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
3587,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
5851,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2851,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
4810,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
1947,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2252,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
1530,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
