RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2783,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
4438,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2766,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
1982,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
4239,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3647,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2102,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2103,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2599,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
4678,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3591,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2711,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
4951,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
4887,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2599,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3230,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2846,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3495,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
