RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
4346,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
6581,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
6425,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
6210,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
6674,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
5756,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3944,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
10096,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
4003,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
4589,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
6950,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
105276,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3796,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
