RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59497c498fb2140001afda85,"04/26/2022, 07:20:30"
6677,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,59497c498fb2140001afda85,"04/26/2022, 07:20:30"
3460,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59497c498fb2140001afda85,"04/26/2022, 07:20:30"
3724,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59497c498fb2140001afda85,"04/26/2022, 07:20:30"
4376,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,59497c498fb2140001afda85,"04/26/2022, 07:20:30"
4215,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59497c498fb2140001afda85,"04/26/2022, 07:20:30"
3278,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59497c498fb2140001afda85,"04/26/2022, 07:20:30"
3521,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,59497c498fb2140001afda85,"04/26/2022, 07:20:30"
7277,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59497c498fb2140001afda85,"04/26/2022, 07:20:30"
4470,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59497c498fb2140001afda85,"04/26/2022, 07:20:30"
3751,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,59497c498fb2140001afda85,"04/26/2022, 07:20:30"
4179,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,59497c498fb2140001afda85,"04/26/2022, 07:20:30"
5731,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59497c498fb2140001afda85,"04/26/2022, 07:20:30"
4092,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59497c498fb2140001afda85,"04/26/2022, 07:20:30"
3618,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,59497c498fb2140001afda85,"04/26/2022, 07:20:30"
3107,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,59497c498fb2140001afda85,"04/26/2022, 07:20:30"
5395,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59497c498fb2140001afda85,"04/26/2022, 07:20:30"
