RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2781,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2828,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
4801,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3568,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3701,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
5144,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3372,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2772,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
5832,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3776,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
