RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
5554,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
5284,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2680,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3051,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2645,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2429,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2795,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3493,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2697,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2827,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3613,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
5377,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2675,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3519,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3060,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
5615,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
6504,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
4757,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2579,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
5760,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
4173,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3837,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2731,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
5355,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3136,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3231,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2777,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
4888,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2629,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3262,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
5177,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
5857,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2711,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2505,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3352,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2520,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3115,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3431,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2994,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2660,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3064,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
4947,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
4459,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
4210,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2942,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
5511,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3519,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
5293,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2646,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3985,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3477,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3151,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2438,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3177,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2872,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
file,isFamiliar,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
E_M_nicolas_cage.jpg,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
P_M_donald_trump.jpg,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
E_F_jennifer_aniston.jpg,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
E_F_angelina_jolie.jpg,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
E_F_Kate_Winslet.jpg,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
P_M_Tony_Blair.jpg,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
P_F_hillary_clinton.jpg,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
P_F_tehresy_may.jpg,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
P_M_bill_clinton.jpg,0,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
E_M_tom_hankes.jpg,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
P_M_david_cameron.jpg,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
E_M_michael_caine.jpg,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
E_M_Hugh_Grant.jpg,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
E_F_keira_knightley.jpg,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
P_F_nicola_sturgeon.jpg,0,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
E_F_sandra_bullock.jpg,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
E_F_Judi_Dench.jpg,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
P_M_boris_johnson.jpg,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
P_M_george_Wbush.jpg,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
E_M_robert_de_niro.jpg,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
age: 31,gender: Female,handedness: right,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
