RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2084,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
4127,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
4894,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3571,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2877,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3162,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3036,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3785,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2238,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
4019,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2512,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3872,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
4276,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
