RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
5213,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
5693,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
5485,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
5163,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
5358,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
4120,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
5956,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
5822,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
4519,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3923,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
5818,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3921,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3988,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
6728,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
4024,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
5615,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
5990,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3725,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
5185,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3288,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
7489,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
4497,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
5689,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
4706,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
4738,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3870,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3990,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
9424,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3996,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3175,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
4324,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
5546,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
4732,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
4049,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
5118,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3541,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3112,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
5825,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
6001,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
5244,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
4358,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
4115,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
5147,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3845,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
5240,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
4031,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3784,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
10713,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3831,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3575,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
5611,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
4383,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3978,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3766,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
4239,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
6233,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3129,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3284,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3932,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3807,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3300,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
2942,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3886,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
2954,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
4817,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
2531,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
2748,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3678,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
4538,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
6755,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3299,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3345,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3688,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
2893,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
5436,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3601,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
3230,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
2299,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
6661,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
2618,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
2825,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
2682,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5a8ad2082a842c0001fce0f2,"04/26/2022, 07:22:35"
