RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3686,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
4243,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3387,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2755,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2002,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2687,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2484,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2208,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2172,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3014,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2583,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
1999,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3797,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3405,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2296,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2662,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2450,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3738,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2459,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2152,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3400,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2710,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2201,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2537,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2064,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
1808,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3381,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
