RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
3844,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2970,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2629,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2679,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
3209,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2918,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2873,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2732,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2978,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2204,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2879,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
3032,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2370,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2337,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
3467,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2579,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
4031,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2823,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2786,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1970,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2509,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
3233,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2966,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2173,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
