RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
18511,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
4550,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
4640,E_M_liam_neeson.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
3720,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
18228,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
4465,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
3163,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
3057,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
3349,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
4643,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
9252,P_F_angela_rayner.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
8468,E_M_tom_hankes.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
3761,E_M_Martin_Freeman.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
6764,E_F_jennifer_aniston.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
2754,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
4515,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
3655,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
3966,E_M_liam_neeson.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
182581,P_F_angela_rayner.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
5372,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
5437,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
5139,P_F_angela_rayner.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,61482706268c2b23781126f3,"11/30/2021, 19:16:32"
