RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
6979,E_M_anthony_hopkins.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3007,E_M_anthony_hopkins.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
1893,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
6658,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2714,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3403,E_M_Martin_Freeman.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2022,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4016,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3693,P_F_angela_rayner.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3906,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
