RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
7129,E_M_liam_neeson.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
4729,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
8991,E_M_Martin_Freeman.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
11555,E_F_keira_knightley.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
6504,E_F_keira_knightley.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
6415,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
5383,P_F_PRITI_PATEL.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3888,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
7706,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
5195,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
5098,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
