RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
8525,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
4419,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3412,E_M_liam_neeson.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3656,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3151,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
7105,P_F_esther_mcvey.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
4303,E_M_nicolas_cage.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2462,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2983,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3247,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2429,P_F_PRITI_PATEL.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2502,P_F_esther_mcvey.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3800,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
1937,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2208,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
5091,E_F_sandra_bullock.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2158,E_M_liam_neeson.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
6121,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
6470,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2454,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3139,E_M_anthony_hopkins.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2753,P_F_angela_rayner.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
4513,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3921,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3732,E_M_anthony_hopkins.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2967,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2361,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
5360,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
5789,E_M_Hugh_Grant.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2646,E_F_Kate_Winslet.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3071,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
1956,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2666,E_F_angelina_jolie.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
1941,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3087,P_F_esther_mcvey.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2281,E_M_michael_caine.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3038,E_M_anthony_hopkins.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
4033,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2494,E_M_anthony_hopkins.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
1941,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2309,E_M_anthony_hopkins.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2382,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2225,E_M_anthony_hopkins.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2954,E_M_anthony_hopkins.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2033,P_F_PRITI_PATEL.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
1982,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
4695,E_F_Kate_Winslet.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
6278,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3002,E_M_Martin_Freeman.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
4773,P_F_esther_mcvey.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
17116,E_M_liam_neeson.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3106,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2517,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
5212,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
5347,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2602,E_M_Martin_Freeman.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2728,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3287,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
