RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
5443,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
7574,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
7745,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
10423,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3955,E_F_Judi_Dench.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4012,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
5884,P_F_esther_mcvey.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
9769,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
7271,E_F_sandra_bullock.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
10181,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4839,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4305,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4689,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3558,P_F_angela_rayner.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
10346,P_F_angela_rayner.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
45108,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3155,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
6189,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
7434,E_M_michael_caine.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
5327,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3665,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
5826,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4498,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
9739,E_F_angelina_jolie.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
6047,E_M_anthony_hopkins.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4557,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3375,P_F_angela_rayner.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
6589,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
6106,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3141,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3364,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
5510,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3972,P_F_PRITI_PATEL.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
6305,E_F_angelina_jolie.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4428,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
6508,E_F_sandra_bullock.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4654,E_M_Hugh_Grant.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
5440,E_M_liam_neeson.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
5089,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
5234,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
2825,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
16897,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
6575,E_F_Judi_Dench.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
9654,P_F_PRITI_PATEL.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
5870,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
5193,P_F_angela_rayner.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
5635,P_F_esther_mcvey.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4489,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
6894,E_F_Judi_Dench.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
7935,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4335,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3880,E_M_tom_hankes.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3800,E_F_angelina_jolie.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3733,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
5487,P_F_angela_rayner.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4329,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4027,E_M_anthony_hopkins.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3688,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4548,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4192,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
10264,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
9829,E_M_anthony_hopkins.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4776,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4680,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
5994,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3501,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
5479,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
