RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
6868,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4917,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
6005,E_F_Kate_Winslet.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
7187,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
10660,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4420,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
9213,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
8312,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
6396,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
9503,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
6328,E_M_Martin_Freeman.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4050,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
6670,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
8744,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4464,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5448,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5282,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4838,E_M_liam_neeson.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4928,E_M_nicolas_cage.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
8032,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4307,E_F_Kate_Winslet.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
3994,E_M_tom_hankes.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4642,E_M_liam_neeson.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4767,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4994,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4772,E_M_anthony_hopkins.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4898,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4285,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
8542,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
15203,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4644,P_F_esther_mcvey.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5237,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4795,E_M_Martin_Freeman.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4773,P_F_PRITI_PATEL.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
6869,E_M_Martin_Freeman.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5870,E_M_anthony_hopkins.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5447,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4257,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4148,E_M_liam_neeson.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4879,P_F_PRITI_PATEL.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
