RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
4620,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2801,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3089,E_F_jennifer_aniston.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2686,E_M_nicolas_cage.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3393,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3704,E_F_jennifer_aniston.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
4498,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3014,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3117,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2504,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3535,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3201,P_F_angela_rayner.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2803,E_M_Martin_Freeman.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2497,E_M_michael_caine.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2822,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3169,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2962,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2485,E_F_Judi_Dench.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
8953,E_F_keira_knightley.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
1883,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
1912,E_M_Martin_Freeman.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3255,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2133,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2310,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2122,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2366,E_M_robert_de_niro.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
1631,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2171,E_M_anthony_hopkins.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2327,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
1782,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
1867,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2005,E_M_Martin_Freeman.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2011,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2434,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3150,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2003,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
1808,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2236,E_F_Judi_Dench.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3083,E_M_Martin_Freeman.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2291,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
4795,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2288,E_F_angelina_jolie.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
1986,E_M_anthony_hopkins.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2013,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2661,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3128,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3054,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3237,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2048,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
4542,E_M_liam_neeson.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2774,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2335,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
1997,E_F_jennifer_aniston.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2284,E_M_Martin_Freeman.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2031,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2351,P_F_angela_rayner.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
1964,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3819,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
1833,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2130,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
1778,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2819,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2073,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
1917,E_F_keira_knightley.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2190,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2398,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
1963,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2503,E_M_Martin_Freeman.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
1652,E_F_sandra_bullock.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2131,E_F_Kate_Winslet.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2336,E_M_Martin_Freeman.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
1657,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2244,E_M_anthony_hopkins.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2210,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2360,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
4596,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3040,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3257,E_M_Martin_Freeman.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
1892,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2429,P_F_angela_rayner.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2083,P_F_angela_rayner.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
1987,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3043,E_F_angelina_jolie.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2838,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
1881,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
1854,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
1932,P_F_angela_rayner.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2004,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2150,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2427,E_F_jennifer_aniston.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2881,E_M_liam_neeson.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2595,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2585,E_M_Martin_Freeman.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2532,E_M_anthony_hopkins.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3294,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2623,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3792,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2936,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2833,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
4022,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2674,E_M_anthony_hopkins.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
