RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3593,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3977,E_M_michael_caine.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
6841,E_M_anthony_hopkins.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4143,E_F_Kate_Winslet.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4404,E_F_jennifer_aniston.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3631,E_M_nicolas_cage.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4095,E_M_liam_neeson.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3249,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3788,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4967,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
2675,P_F_angela_rayner.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4842,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3725,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4144,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
6799,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3345,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
