"file","isFamiliar","participant","time"
"E_M_Ewan_McGregor(3).png",0,"58542426733c730001a5d1f4","10/14/2022, 09:17:10"
"E_F_Julie_Walters(20).png",0,"58542426733c730001a5d1f4","10/14/2022, 09:17:10"
"P_M_nigel_farage(5).png",1,"58542426733c730001a5d1f4","10/14/2022, 09:17:10"
"E_M_Jimmy_Carr(5).png",1,"58542426733c730001a5d1f4","10/14/2022, 09:17:10"
"P_M_Michael_Gove(9).png",1,"58542426733c730001a5d1f4","10/14/2022, 09:17:10"
"P_M_Tony_Blair.png",1,"58542426733c730001a5d1f4","10/14/2022, 09:17:10"
"E_M_Peter_Kay(3).png",1,"58542426733c730001a5d1f4","10/14/2022, 09:17:10"
"P_M_jeremy_corbyn(2).png",1,"58542426733c730001a5d1f4","10/14/2022, 09:17:10"
"P_M_Gordon_Brown(19).png",1,"58542426733c730001a5d1f4","10/14/2022, 09:17:10"
"E_F_Jennifer_Saunders.png",0,"58542426733c730001a5d1f4","10/14/2022, 09:17:10"
"E_M_Michael_McIntyr(8).png",1,"58542426733c730001a5d1f4","10/14/2022, 09:17:10"
"E_M_Simon_Pegg(8).png",1,"58542426733c730001a5d1f4","10/14/2022, 09:17:10"
"P_M_david_camer(14).png",1,"58542426733c730001a5d1f4","10/14/2022, 09:17:10"
"E_F_Sarah_Millican(1).png",1,"58542426733c730001a5d1f4","10/14/2022, 09:17:10"
"E_M_Russell_Howard(10).png",1,"58542426733c730001a5d1f4","10/14/2022, 09:17:10"
"E_F_Dawn_Roma(4).png",0,"58542426733c730001a5d1f4","10/14/2022, 09:17:10"
"P_M_keir_starmer(6).png",1,"58542426733c730001a5d1f4","10/14/2022, 09:17:10"
"P_F_nicola_sturge(10).png",1,"58542426733c730001a5d1f4","10/14/2022, 09:17:10"
"P_F_Theresa_May(3).png",1,"58542426733c730001a5d1f4","10/14/2022, 09:17:10"
"P_M_Sajid_Javid(4).png",1,"58542426733c730001a5d1f4","10/14/2022, 09:17:10"
"E_M_Michael_McIntyr(8).png",1,"599973b4336b6b000159e62d","10/14/2022, 09:20:01"
"P_M_Tony_Blair.png",1,"599973b4336b6b000159e62d","10/14/2022, 09:20:01"
"E_M_Peter_Kay(3).png",1,"599973b4336b6b000159e62d","10/14/2022, 09:20:01"
"E_F_Dawn_Roma(4).png",1,"599973b4336b6b000159e62d","10/14/2022, 09:20:01"
"P_M_Michael_Gove(9).png",1,"599973b4336b6b000159e62d","10/14/2022, 09:20:01"
"P_M_david_camer(14).png",1,"599973b4336b6b000159e62d","10/14/2022, 09:20:01"
"P_F_Theresa_May(3).png",1,"599973b4336b6b000159e62d","10/14/2022, 09:20:01"
"E_M_Ewan_McGregor(3).png",1,"599973b4336b6b000159e62d","10/14/2022, 09:20:01"
"P_M_jeremy_corbyn(2).png",1,"599973b4336b6b000159e62d","10/14/2022, 09:20:01"
"P_M_keir_starmer(6).png",1,"599973b4336b6b000159e62d","10/14/2022, 09:20:01"
"E_F_Jennifer_Saunders.png",1,"599973b4336b6b000159e62d","10/14/2022, 09:20:01"
"E_F_Julie_Walters(20).png",1,"599973b4336b6b000159e62d","10/14/2022, 09:20:01"
"P_M_Gordon_Brown(19).png",1,"599973b4336b6b000159e62d","10/14/2022, 09:20:01"
