RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
5178,P_M_Gordon_Brown(14).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
3294,E_F_Dawn_Roma(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
2709,P_M_keir_starmer(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
2316,E_M_Michael_McIntyr(7).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1864,E_F_Julie_Walters(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
2138,E_M_Jimmy_Carr(12).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
2525,E_F_Sarah_Millican(22).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
2253,E_M_Ewan_McGregor(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
159822,E_M_Michael_McIntyr(7).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
3980,E_F_Jennifer_Saunders(21).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1808,P_M_jeremy_corbyn(10).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1872,E_F_Dawn_Roma(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
2894,E_M_Peter_Kay(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
11239,E_F_Dawn_Roma(22).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1620,E_F_Sarah_Millican(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1773,E_M_Russell_Howard(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1761,E_M_Russell_Howard(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1754,P_F_nicola_sturge(17).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
2065,P_F_Theresa_May(16).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1717,E_M_Ewan_McGregor(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1733,E_F_Dawn_Roma(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
2013,E_F_Jennifer_Saunders(21).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1800,E_F_Dawn_Roma(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1562,E_F_Julie_Walters(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
959,E_F_Jennifer_Saunders(21).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
614,E_M_Michael_McIntyr(7).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
790,E_F_Julie_Walters(15).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1470,E_M_Jimmy_Carr(12).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1241,E_F_Dawn_Roma(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1043,E_F_Sarah_Millican(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1443,E_F_Julie_Walters(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1851,E_M_Peter_Kay(20).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
2231,E_M_Jimmy_Carr(12).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1431,E_M_Jimmy_Carr(12).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1610,P_M_david_camer(18).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
