RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1755,P_M_Gordon_Brown(14).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1351,P_M_keir_starmer(9).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1740,E_F_Dawn_Roma(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1579,E_F_Sarah_Millican(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1623,E_F_Julie_Walters(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2243,E_M_Simon_Pegg(24).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2227,E_M_Ewan_McGregor(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1275,E_M_Peter_Kay(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2063,P_F_Theresa_May(16).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1270,E_M_Peter_Kay(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2385,P_M_Gordon_Brown(14).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2394,E_F_Sarah_Millican(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1377,E_M_Peter_Kay(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1803,E_F_Sarah_Millican(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2926,E_F_Dawn_Roma(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1578,E_M_Jimmy_Carr(12).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2171,E_M_Russell_Howard(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1570,E_F_Dawn_Roma(22).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2707,E_M_Jimmy_Carr(12).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1615,E_M_Michael_McIntyr(7).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1427,E_F_Jennifer_Saunders(21).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1883,E_F_Dawn_Roma(22).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1790,E_F_Jennifer_Saunders(21).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1632,E_M_Jimmy_Carr(12).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1176,E_M_Jimmy_Carr(12).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1856,E_M_Michael_McIntyr(7).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1171,E_F_Dawn_Roma(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1573,P_M_david_camer(18).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2223,P_F_nicola_sturge(17).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1657,E_F_Julie_Walters(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1808,E_M_Jimmy_Carr(12).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1017,E_M_Jimmy_Carr(12).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1975,E_M_Simon_Pegg(24).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1523,P_F_nicola_sturge(17).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1398,E_M_Ewan_McGregor(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2075,P_M_Michael_Gove(3).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1604,E_F_Jennifer_Saunders(21).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2509,E_M_Simon_Pegg(24).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1743,E_F_Jennifer_Saunders(21).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1594,E_M_Michael_McIntyr(7).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1438,E_M_Russell_Howard(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1763,E_M_Peter_Kay(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1714,E_M_Ewan_McGregor(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1367,E_F_Julie_Walters(15).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2554,E_M_Jimmy_Carr(12).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1479,P_M_jeremy_corbyn(10).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1415,P_M_keir_starmer(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2952,P_F_Theresa_May(16).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1697,E_F_Sarah_Millican(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2580,P_M_nigel_farage(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1316,E_M_Ewan_McGregor(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1552,E_M_Simon_Pegg(24).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1838,E_F_Julie_Walters(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1204,E_F_Julie_Walters(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1866,E_F_Dawn_Roma(22).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2195,P_M_jeremy_corbyn(10).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1565,E_F_Dawn_Roma(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1646,E_M_Michael_McIntyr(7).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
3295,E_F_Dawn_Roma(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1419,E_F_Dawn_Roma(22).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1251,E_M_Ewan_McGregor(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1146,E_F_Jennifer_Saunders(21).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1298,E_F_Sarah_Millican(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1168,E_F_Julie_Walters(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1011,E_F_Sarah_Millican(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1167,E_F_Sarah_Millican(22).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2206,E_F_Dawn_Roma(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1696,P_M_david_camer(18).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1568,E_M_Russell_Howard(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
