RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2519,E_F_Sarah_Millican(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2780,E_M_Ewan_McGregor(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1569,P_F_Theresa_May(16).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2312,E_M_Ewan_McGregor(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2450,E_F_Jennifer_Saunders(21).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1555,P_M_Sajid_Javid(12).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1827,E_F_Sarah_Millican(22).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1279,E_F_Jennifer_Saunders(21).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1427,E_M_Peter_Kay(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1167,P_M_Gordon_Brown(14).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1241,E_M_Russell_Howard(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1532,E_M_Peter_Kay(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1907,E_F_Sarah_Millican(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
6591,E_M_Ewan_McGregor(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1343,E_M_Ewan_McGregor(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1860,E_F_Dawn_Roma(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1281,E_F_Sarah_Millican(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1311,E_M_Michael_McIntyr(7).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2726,E_M_Jimmy_Carr(12).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1224,P_M_jeremy_corbyn(10).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1435,P_M_keir_starmer(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
file,isFamiliar,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
E_F_Dawn_Roma(22).png,0,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
P_M_david_camer(18).png,1,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
P_M_nigel_farage(9).png,1,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
E_F_Jennifer_Saunders(21).png,0,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
E_M_Ewan_McGregor(15).png,0,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
E_M_Russell_Howard(20).png,1,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
E_M_Simon_Pegg(24).png,1,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
P_F_Theresa_May(16).png,1,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
E_M_Michael_McIntyr(7).png,1,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
P_M_Sajid_Javid(12).png,1,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
P_M_keir_starmer(9).png,1,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
P_M_Gordon_Brown(14).png,0,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
P_F_nicola_sturge(17).png,1,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
E_F_Sarah_Millican(22).png,1,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
P_M_jeremy_corbyn(10).png,0,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
E_M_Jimmy_Carr(12).png,1,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
P_M_Michael_Gove(3).png,1,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
E_M_Peter_Kay(20).png,1,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
P_M_Tony_Blair(12).png,1,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
E_F_Julie_Walters(15).png,0,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
age: 32,gender: Male,handedness: right,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
