RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
5017,E_F_Dawn_Roma(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
8428,P_F_Theresa_May(16).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
4195,E_F_Dawn_Roma(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
5261,E_M_Peter_Kay(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
4385,E_M_Michael_McIntyr(7).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3104,P_M_jeremy_corbyn(10).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3899,E_F_Sarah_Millican(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
4511,E_F_Dawn_Roma(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3965,E_M_Russell_Howard(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
6476,E_F_Julie_Walters(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
4509,E_F_Julie_Walters(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
