RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
4003,E_F_Jennifer_Saunders(21).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
9480,E_M_Michael_McIntyr(7).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
5187,E_M_Jimmy_Carr(12).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2569,E_M_Russell_Howard(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
3287,E_F_Sarah_Millican(22).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
3587,E_F_Dawn_Roma(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
3834,E_M_Michael_McIntyr(7).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
5154,E_M_Simon_Pegg(24).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
3276,E_M_Michael_McIntyr(7).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
5060,P_F_Theresa_May(16).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2837,P_F_nicola_sturge(17).png,P_F_Theresa_May(16).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2882,P_M_jeremy_corbyn(10).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2599,E_F_Julie_Walters(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
4394,E_M_Ewan_McGregor(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
4430,E_M_Ewan_McGregor(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2459,P_F_nicola_sturge(17).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2124,E_M_Simon_Pegg(24).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2502,E_F_Julie_Walters(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
3344,E_M_Jimmy_Carr(12).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
3301,E_F_Sarah_Millican(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2044,E_M_Simon_Pegg(24).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2152,P_M_nigel_farage(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2706,E_M_Michael_McIntyr(7).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
3882,E_F_Jennifer_Saunders(21).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2566,E_M_Michael_McIntyr(7).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
1994,E_F_Julie_Walters(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
3164,P_M_david_camer(18).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2089,E_M_Jimmy_Carr(12).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2853,E_F_Sarah_Millican(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
1960,E_M_Jimmy_Carr(12).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
