RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
8200,E_F_Julie_Walters(15).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2962,E_M_Michael_McIntyr(7).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1725,E_F_Dawn_Roma(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1555,E_M_Simon_Pegg(24).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1535,P_M_keir_starmer(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1903,E_F_Jennifer_Saunders(21).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1726,E_M_Peter_Kay(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1782,P_F_nicola_sturge(17).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
137974,E_F_Julie_Walters(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2382,E_F_Sarah_Millican(22).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2055,E_M_Peter_Kay(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1359,E_M_Peter_Kay(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1662,P_F_Theresa_May(16).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1558,E_M_Jimmy_Carr(12).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1910,E_F_Julie_Walters(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1543,E_M_Peter_Kay(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1822,E_F_Sarah_Millican(22).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2023,P_F_Theresa_May(16).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1599,E_M_Michael_McIntyr(7).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1790,E_F_Dawn_Roma(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1582,E_F_Julie_Walters(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1646,P_M_Gordon_Brown(14).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2438,E_M_Russell_Howard(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
3806,P_F_Theresa_May(16).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2110,E_M_Peter_Kay(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2406,E_F_Jennifer_Saunders(21).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
