RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
3126,P_M_nigel_farage(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2398,E_F_Dawn_Roma(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
1928,P_M_Michael_Gove(3).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2189,E_F_Jennifer_Saunders(21).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
3080,E_M_Ewan_McGregor(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2384,E_M_Russell_Howard(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
4307,P_M_david_camer(18).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2396,E_M_Ewan_McGregor(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2031,E_F_Dawn_Roma(22).png,E_F_Jennifer_Saunders(21).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
1977,E_F_Jennifer_Saunders(21).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2118,E_M_Peter_Kay(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
3033,E_M_Russell_Howard(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2409,E_M_Jimmy_Carr(12).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
4072,E_M_Peter_Kay(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2418,P_M_jeremy_corbyn(10).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
3707,E_M_Michael_McIntyr(7).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2511,P_M_Gordon_Brown(14).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
3616,P_M_david_camer(18).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
3306,E_M_Michael_McIntyr(7).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2372,E_M_Peter_Kay(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2104,E_M_Peter_Kay(20).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
1761,E_M_Peter_Kay(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2287,P_M_Gordon_Brown(14).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
1916,P_M_Michael_Gove(3).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
3043,P_M_jeremy_corbyn(10).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2999,E_F_Sarah_Millican(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2497,E_F_Dawn_Roma(22).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2635,P_M_nigel_farage(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
3426,E_M_Ewan_McGregor(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
4241,P_F_Theresa_May(16).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
1969,E_M_Jimmy_Carr(12).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2347,E_F_Julie_Walters(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2413,P_F_nicola_sturge(17).png,P_F_Theresa_May(16).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2072,P_F_nicola_sturge(17).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2733,E_F_Jennifer_Saunders(21).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2494,E_M_Simon_Pegg(24).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2494,E_F_Julie_Walters(15).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
5765,E_F_Dawn_Roma(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
4147,E_F_Sarah_Millican(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2094,E_F_Jennifer_Saunders(21).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2354,E_M_Michael_McIntyr(7).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2061,P_M_david_camer(18).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2309,E_F_Julie_Walters(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2459,E_M_Peter_Kay(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
1782,E_M_Russell_Howard(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
5030,E_F_Dawn_Roma(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2499,E_M_Jimmy_Carr(12).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
3057,E_F_Jennifer_Saunders(21).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2669,E_M_Simon_Pegg(24).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
