RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
7466,E_F_Julie_Walters(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
3746,E_M_Russell_Howard(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
3339,P_M_keir_starmer(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2415,E_M_Simon_Pegg(24).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2445,P_F_Theresa_May(16).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
27448,P_F_nicola_sturge(17).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
5169,E_F_Jennifer_Saunders(21).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1599,E_F_Dawn_Roma(22).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2208,E_M_Simon_Pegg(24).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1545,E_M_Simon_Pegg(24).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1954,E_M_Peter_Kay(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1671,E_M_Simon_Pegg(24).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2533,E_M_Michael_McIntyr(7).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2655,E_M_Peter_Kay(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
3689,E_F_Sarah_Millican(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
4433,P_F_Theresa_May(16).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
