RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3131,E_F_Dawn_Roma(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3609,E_F_Sarah_Millican(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
4967,E_F_Dawn_Roma(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2887,E_M_Michael_McIntyr(7).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2325,E_M_Russell_Howard(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2327,E_F_Dawn_Roma(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2468,E_M_Simon_Pegg(24).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3939,E_F_Jennifer_Saunders(21).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
1993,E_M_Peter_Kay(20).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
4407,P_M_david_camer(18).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3211,E_M_Ewan_McGregor(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
