RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
1985,P_F_nicola_sturge(17).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2384,E_M_Jimmy_Carr(12).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3096,P_M_david_camer(18).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
1942,P_M_Gordon_Brown(14).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2265,E_F_Dawn_Roma(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3508,E_F_Jennifer_Saunders(21).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2943,E_F_Jennifer_Saunders(21).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2786,E_F_Sarah_Millican(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3111,P_F_nicola_sturge(17).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
4422,E_F_Dawn_Roma(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3692,E_F_Julie_Walters(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2976,E_F_Sarah_Millican(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3373,E_F_Dawn_Roma(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2967,E_F_Sarah_Millican(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2887,E_M_Peter_Kay(20).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3028,E_F_Sarah_Millican(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2751,E_M_Peter_Kay(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3331,E_M_Ewan_McGregor(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2609,P_M_keir_starmer(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
6103,E_F_Jennifer_Saunders(21).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2605,E_F_Sarah_Millican(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2499,P_M_jeremy_corbyn(10).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
6284,E_M_Peter_Kay(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3458,P_M_keir_starmer(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3274,E_F_Sarah_Millican(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
4789,P_F_Theresa_May(16).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
4381,E_M_Michael_McIntyr(7).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2822,P_M_david_camer(18).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3289,E_F_Dawn_Roma(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
4234,E_M_Jimmy_Carr(12).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2757,E_F_Dawn_Roma(22).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
