RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
3990,E_F_Jennifer_Saunders(21).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1799,E_M_Peter_Kay(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2161,P_M_Michael_Gove(3).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2731,E_M_Russell_Howard(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2013,E_F_Jennifer_Saunders(21).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
12471,E_M_Russell_Howard(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1978,P_F_nicola_sturge(17).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1716,E_F_Sarah_Millican(22).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1548,E_M_Russell_Howard(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
3173,E_M_Jimmy_Carr(12).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
4367,E_F_Julie_Walters(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2547,E_M_Ewan_McGregor(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1569,E_F_Sarah_Millican(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
3478,E_M_Jimmy_Carr(12).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1881,E_F_Sarah_Millican(22).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
28070,E_M_Michael_McIntyr(7).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1878,E_F_Jennifer_Saunders(21).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1406,P_M_jeremy_corbyn(10).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2135,E_F_Dawn_Roma(22).png,E_F_Jennifer_Saunders(21).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
5652,E_F_Sarah_Millican(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1988,E_F_Julie_Walters(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2043,P_M_keir_starmer(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2632,E_M_Simon_Pegg(24).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2479,E_M_Peter_Kay(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1854,E_F_Jennifer_Saunders(21).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1744,P_M_nigel_farage(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
20873,P_M_Gordon_Brown(14).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
3406,E_F_Dawn_Roma(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2323,E_F_Julie_Walters(15).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
6064,P_M_david_camer(18).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
6285,E_M_Ewan_McGregor(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2531,E_M_Jimmy_Carr(12).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2244,E_M_Jimmy_Carr(12).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1640,E_M_Michael_McIntyr(7).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
3154,P_M_jeremy_corbyn(10).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1275,E_M_Simon_Pegg(24).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1804,E_F_Dawn_Roma(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1363,E_F_Sarah_Millican(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1333,E_F_Dawn_Roma(22).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
3082,E_F_Julie_Walters(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1627,E_F_Dawn_Roma(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1596,P_M_david_camer(18).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
3127,E_M_Peter_Kay(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1355,E_M_Ewan_McGregor(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
