RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,601e028aea41df251254119a,"10/17/2022, 11:35:48"
7916,E_F_Dawn_Roma(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,601e028aea41df251254119a,"10/17/2022, 11:35:48"
5712,E_F_Sarah_Millican(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601e028aea41df251254119a,"10/17/2022, 11:35:48"
2941,P_F_Theresa_May(16).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,601e028aea41df251254119a,"10/17/2022, 11:35:48"
4711,P_F_nicola_sturge(17).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,601e028aea41df251254119a,"10/17/2022, 11:35:48"
2881,E_M_Jimmy_Carr(12).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601e028aea41df251254119a,"10/17/2022, 11:35:48"
3703,E_M_Ewan_McGregor(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,601e028aea41df251254119a,"10/17/2022, 11:35:48"
3535,P_M_jeremy_corbyn(10).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,601e028aea41df251254119a,"10/17/2022, 11:35:48"
3180,E_F_Jennifer_Saunders(21).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601e028aea41df251254119a,"10/17/2022, 11:35:48"
2551,P_M_Gordon_Brown(14).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,601e028aea41df251254119a,"10/17/2022, 11:35:48"
2346,E_F_Sarah_Millican(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,601e028aea41df251254119a,"10/17/2022, 11:35:48"
1925,P_F_Theresa_May(16).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601e028aea41df251254119a,"10/17/2022, 11:35:48"
