RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
2993,E_F_Jennifer_Saunders(21).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
4155,E_M_Russell_Howard(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
5059,E_M_Peter_Kay(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
4734,P_F_nicola_sturge(17).png,P_F_Theresa_May(16).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
3143,E_M_Ewan_McGregor(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
2711,P_M_Gordon_Brown(14).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
4931,P_M_Michael_Gove(3).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
2691,E_M_Peter_Kay(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
4025,E_F_Jennifer_Saunders(21).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
5511,E_M_Russell_Howard(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
3983,E_F_Sarah_Millican(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
3628,E_F_Julie_Walters(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
4472,E_F_Dawn_Roma(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
5909,E_M_Michael_McIntyr(7).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
2964,E_F_Sarah_Millican(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
3737,E_M_Peter_Kay(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
3426,E_F_Sarah_Millican(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
5334,E_M_Ewan_McGregor(15).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
4444,E_F_Sarah_Millican(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
2663,P_M_jeremy_corbyn(10).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
3555,E_F_Dawn_Roma(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
4289,E_M_Ewan_McGregor(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
5060,E_M_Jimmy_Carr(12).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
2650,E_F_Dawn_Roma(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
2993,P_M_Gordon_Brown(14).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
2744,P_M_david_camer(18).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
2455,P_F_Theresa_May(16).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
2631,E_F_Sarah_Millican(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
3304,E_F_Sarah_Millican(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
1876,E_M_Michael_McIntyr(7).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
1870,E_F_Jennifer_Saunders(21).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
2010,E_M_Michael_McIntyr(7).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
1811,P_M_keir_starmer(9).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
1635,E_M_Jimmy_Carr(12).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
3188,E_F_Sarah_Millican(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
3975,E_F_Julie_Walters(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
