RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1791,E_M_Michael_McIntyr(7).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1543,E_M_Michael_McIntyr(7).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1293,P_M_jeremy_corbyn(10).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1607,E_F_Julie_Walters(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1587,E_M_Jimmy_Carr(12).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1437,E_F_Sarah_Millican(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1104,E_M_Jimmy_Carr(12).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
831,P_M_nigel_farage(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1137,E_M_Michael_McIntyr(7).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1787,E_F_Dawn_Roma(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1209,E_M_Michael_McIntyr(7).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1098,P_M_keir_starmer(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1070,E_M_Michael_McIntyr(7).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1082,E_F_Jennifer_Saunders(21).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1416,E_M_Simon_Pegg(24).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1592,E_F_Jennifer_Saunders(21).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1854,E_M_Simon_Pegg(24).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1412,P_F_nicola_sturge(17).png,P_F_Theresa_May(16).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1309,E_M_Simon_Pegg(24).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1414,E_M_Peter_Kay(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1548,E_M_Simon_Pegg(24).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1011,E_F_Julie_Walters(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1542,P_M_david_camer(18).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1316,E_F_Jennifer_Saunders(21).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1521,E_F_Dawn_Roma(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
14423,P_M_keir_starmer(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1496,P_F_nicola_sturge(17).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1416,E_F_Dawn_Roma(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
3696,E_F_Sarah_Millican(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1438,E_M_Michael_McIntyr(7).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
913,E_F_Sarah_Millican(22).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1741,E_M_Russell_Howard(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
2037,E_M_Michael_McIntyr(7).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1549,E_F_Jennifer_Saunders(21).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
