RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2883,E_M_Peter_Kay(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2067,E_F_Sarah_Millican(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
5946,E_M_Simon_Pegg(24).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2911,E_F_Julie_Walters(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2836,E_F_Dawn_Roma(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
1858,P_M_Sajid_Javid(12).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2825,E_F_Jennifer_Saunders(21).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3926,E_F_Jennifer_Saunders(21).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2817,E_F_Julie_Walters(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3655,E_M_Jimmy_Carr(12).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3016,E_M_Simon_Pegg(24).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2962,E_M_Jimmy_Carr(12).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
6515,E_M_Michael_McIntyr(7).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
8130,P_M_david_camer(18).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2115,E_F_Sarah_Millican(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2589,E_M_Ewan_McGregor(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2861,E_M_Ewan_McGregor(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
