RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
3820,E_F_Jennifer_Saunders(21).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
3024,P_F_Theresa_May(16).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2350,E_M_Peter_Kay(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
10543,E_M_Ewan_McGregor(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2646,E_F_Dawn_Roma(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2652,E_M_Simon_Pegg(24).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2157,P_M_keir_starmer(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
5076,E_M_Ewan_McGregor(15).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1909,P_M_Michael_Gove(3).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2607,E_F_Dawn_Roma(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
4505,P_M_Michael_Gove(3).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2429,E_F_Dawn_Roma(22).png,E_F_Jennifer_Saunders(21).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2253,E_F_Dawn_Roma(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1950,E_F_Dawn_Roma(22).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2447,E_M_Michael_McIntyr(7).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2597,E_M_Jimmy_Carr(12).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2880,E_M_Michael_McIntyr(7).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2281,E_M_Peter_Kay(20).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2801,E_M_Russell_Howard(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2565,P_M_david_camer(18).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2327,P_M_Gordon_Brown(14).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2247,E_F_Dawn_Roma(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2217,E_F_Julie_Walters(15).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2620,E_F_Julie_Walters(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1928,E_F_Julie_Walters(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2435,E_M_Michael_McIntyr(7).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
3545,E_M_Michael_McIntyr(7).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2200,E_M_Peter_Kay(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2773,E_F_Jennifer_Saunders(21).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
