RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3176,E_F_Julie_Walters(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2104,E_F_Dawn_Roma(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
6481,P_M_david_camer(18).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
11714,E_M_Peter_Kay(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2658,E_F_Jennifer_Saunders(21).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
4840,E_F_Dawn_Roma(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
9728,E_F_Jennifer_Saunders(21).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
4012,E_M_Ewan_McGregor(15).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
4048,E_M_Jimmy_Carr(12).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
6490,E_M_Ewan_McGregor(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2881,E_F_Julie_Walters(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3320,E_F_Julie_Walters(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2470,E_F_Dawn_Roma(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2383,E_M_Russell_Howard(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3408,P_M_Gordon_Brown(14).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
21997,E_F_Jennifer_Saunders(21).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
