"","E_F_Dawn_Roma_French.png","E_F_Jennifer_Saunders.png","E_F_Julie_Walters.png","E_F_Sarah_Millican.png","E_M_Ewan_McGregor.png","E_M_Jimmy_Carr.png","E_M_Michael_McIntyr.png","E_M_Peter_Kay.png","E_M_Russell_Howard.png","E_M_Simon_Pegg.png","P_F_nicola_sturge.png","P_F_Theresa_May.png","P_M_david_camer.png","P_M_Gordon_Brown.png","P_M_jeremy_corbyn.png","P_M_keir_starmer.png","P_M_Michael_Gove.png","P_M_nigel_farage.png","P_M_Sajid_Javid.png","P_M_Tony_Blair.png"
"E_F_Dawn_Roma_French.png",NA,-0.310621833111522,-0.173919422589091,-0.723740780075816,0.823324433822293,0.529721353060904,-0.411896468987251,-0.421936778189836,-0.0244418953556915,0.612766279800755,-0.568113483492715,0.127521422216188,0.259340425076103,0.312942185581676,0.667719976048559,0.256532306177228,0.693258469592542,-0.244475812301555,0.910353542058675,0.283077436126608
"E_F_Jennifer_Saunders.png",-0.310621833111522,NA,-2.37564881968223,0.405739675654711,0.194894781970536,0.325081094691335,-0.0824862543839241,0.438911353220918,0.0899517463465555,0.497803021304157,-1.42363979472049,-1.58716524797328,0.416272400739188,0.326114629976792,0.275740621165251,-0.758357660720769,0.0739458955840513,0.546877528693903,0.625993132356249,-0.205505162071581
"E_F_Julie_Walters.png",-0.173919422589091,-2.37564881968223,NA,0.480684692297003,-0.188293677205594,0.607017682463925,-0.262569325381677,0.221017791522582,-0.451379350577488,0.278868577043331,-1.48046045244457,-1.11336052741486,0.475195639867261,0.280549685227987,0.540049476034858,-0.458850413388098,0.516879645349657,0.409074136463836,0.910353542058675,0.0114734449124111
"E_F_Sarah_Millican.png",-0.723740780075816,0.405739675654711,0.480684692297003,NA,0.57442972310923,0.613880629850385,0.0921352881465906,0.148756732584442,-0.316802271994874,0.802550042264733,0.248799190475622,0.412769588699557,0.638182716205265,0.358247758012023,0.914606569438364,0.540102819585562,-0.437882011840321,0.668045420339451,0.702893616208907,0.648453294306406
"E_M_Ewan_McGregor.png",0.823324433822293,0.194894781970536,-0.188293677205594,0.57442972310923,NA,-0.516434190919454,-0.519073605682272,0.673832690584675,-0.324886033428452,0.221449566916016,0.327801242373608,0.28011853138553,-0.830929745883677,0.0746304297351131,-0.0623232965689397,-1.40818972758073,0.42057742110626,0.179448039562326,0.654121558782649,-0.264146378009868
"E_M_Jimmy_Carr.png",0.529721353060904,0.325081094691335,0.607017682463925,0.613880629850385,-0.516434190919454,NA,-0.496842602261062,-0.214523694437285,0.194377753623337,-0.350151093340168,0.217014570465177,0.250934158555148,-0.402856096669164,-0.551238111177998,0.305787806675264,-0.487103376137403,0.176436102816354,-0.767801546027606,0.634701944011079,-0.0601445063694087
"E_M_Michael_McIntyr.png",-0.411896468987251,-0.0824862543839241,-0.262569325381677,0.0921352881465906,-0.519073605682272,-0.496842602261062,NA,-0.692407223713237,0.127016157045617,0.319734288581412,-0.305443924146428,0.205102330353578,-1.19903601506008,-0.483495075026587,0.323234935346267,-0.331543859301036,0.393136436703233,-0.18257480227389,0.634701944011079,-0.0487396958185332
"E_M_Peter_Kay.png",-0.421936778189836,0.438911353220918,0.221017791522582,0.148756732584442,0.673832690584675,-0.214523694437285,-0.692407223713237,NA,0.490325855350938,0.297035012668372,0.088954081741864,0.721182004502871,-0.981246792657487,-0.160359805533505,0.611229981506119,-0.549728711714619,0.376527594732136,-0.0383110820783807,0.485045426710387,0.241316067287407
"E_M_Russell_Howard.png",-0.0244418953556915,0.0899517463465555,-0.451379350577488,-0.316802271994874,-0.324886033428452,0.194377753623337,0.127016157045617,0.490325855350938,NA,-0.15940156837531,0.0109583160485327,0.15144736764032,0.14865496477106,0.279240324752947,0.0541135036892106,-0.498788172076199,-0.657988136108827,-0.307216121152061,0.821410671497693,-0.690246355208993
"E_M_Simon_Pegg.png",0.612766279800755,0.497803021304157,0.278868577043331,0.802550042264733,0.221449566916016,-0.350151093340168,0.319734288581412,0.297035012668372,-0.15940156837531,NA,0.0267013399263269,0.0983858718046106,0.373349358591648,0.270573027858158,0.0797720443614332,-0.257933110672921,-0.313057231907321,-0.315906450610055,0.676167694031674,-0.562272733918241
"P_F_nicola_sturge.png",-0.568113483492715,-1.42363979472049,-1.48046045244457,0.248799190475622,0.327801242373608,0.217014570465177,-0.305443924146428,0.088954081741864,0.0109583160485327,0.0267013399263269,NA,-1.50961131178681,0.182247247572406,-0.0685082759938166,0.458571253086707,0.0144112472820653,0.789058698407435,0.291728865934376,0.817972301040682,-0.348717813707904
"P_F_Theresa_May.png",0.127521422216188,-1.58716524797328,-1.11336052741486,0.412769588699557,0.28011853138553,0.250934158555148,0.205102330353578,0.721182004502871,0.15144736764032,0.0983858718046106,-1.50961131178681,NA,0.211938945005602,0.205666613805493,-0.000778009603106078,0.452649268530056,0.627114883862077,0.337825643446221,0.739318930221783,-0.150163489224923
"P_M_david_camer.png",0.259340425076103,0.416272400739188,0.475195639867261,0.638182716205265,-0.830929745883677,-0.402856096669164,-1.19903601506008,-0.981246792657487,0.14865496477106,0.373349358591648,0.182247247572406,0.211938945005602,NA,-0.450769015611869,-0.131930425945934,-1.41168075053858,-0.667559626719311,-0.402661626827446,0.807033534186797,-0.770554976479534
