"","E_F_Dawn_Roma_French.png","E_F_Jennifer_Saunders.png","E_F_Julie_Walters.png","E_F_Sarah_Millican.png","E_M_Ewan_McGregor.png","E_M_Jimmy_Carr.png","E_M_Michael_McIntyr.png","E_M_Peter_Kay.png","E_M_Russell_Howard.png","E_M_Simon_Pegg.png","P_F_nicola_sturge.png","P_F_Theresa_May.png","P_M_david_camer.png","P_M_Gordon_Brown.png","P_M_jeremy_corbyn.png","P_M_keir_starmer.png","P_M_Michael_Gove.png","P_M_nigel_farage.png","P_M_Sajid_Javid.png","P_M_Tony_Blair.12..png"
"E_F_Dawn_Roma_French.png",NA,4.3,5.375,5.72727272727273,5,5,4.61538461538461,4.07142857142857,5.23076923076923,5.46153846153846,4.66666666666667,5,4.92857142857143,5.27272727272727,5.4,5,4.5,5.28571428571429,5.41666666666667,5.23076923076923
"E_F_Jennifer_Saunders.png",4.3,NA,4.33333333333333,4.88888888888889,5.22222222222222,5.36363636363636,5.2,5.09090909090909,4.18181818181818,5.18181818181818,4,3.90909090909091,5.18181818181818,5.22222222222222,5.55555555555556,5.09090909090909,4.33333333333333,5.45454545454545,5.4,4.90909090909091
"E_F_Julie_Walters.png",5.375,4.33333333333333,NA,4.66666666666667,5.375,4.90909090909091,4.81818181818182,5.18181818181818,4.72727272727273,5.1,3.72727272727273,3.81818181818182,4.81818181818182,5.1,4.9,4.72727272727273,4.44444444444444,5.18181818181818,4.8,4.72727272727273
"E_F_Sarah_Millican.png",5.72727272727273,4.88888888888889,4.66666666666667,NA,5.16666666666667,5.1875,5.06666666666667,4.75,5.0625,5.1875,4.06666666666667,4.5625,4.875,4.92307692307692,4.76923076923077,4.8125,4.14285714285714,5,5,5.0625
"E_M_Ewan_McGregor.png",5,5.22222222222222,5.375,5.16666666666667,NA,4.33333333333333,4.71428571428571,5.26666666666667,3.71428571428571,4.07142857142857,4.38461538461539,4.86666666666667,4.46666666666667,4.90909090909091,3.6,4.14285714285714,4.46153846153846,4.86666666666667,5.30769230769231,4.71428571428571
"E_M_Jimmy_Carr.png",5,5.36363636363636,4.90909090909091,5.1875,4.33333333333333,NA,4.05263157894737,4.5,4.78947368421053,4.05555555555556,4.27777777777778,4.95,4.05,4.86666666666667,5,4.63157894736842,3.82352941176471,4.15,4.94444444444444,3.73684210526316
"E_M_Michael_McIntyr.png",4.61538461538461,5.2,4.81818181818182,5.06666666666667,4.71428571428571,4.05263157894737,NA,4.15789473684211,5.05555555555556,4.82352941176471,4.35294117647059,4.94736842105263,4.47368421052632,4.57142857142857,5.53846153846154,4.5,4.25,4.52631578947368,5.29411764705882,3.66666666666667
"E_M_Peter_Kay.png",4.07142857142857,5.09090909090909,5.18181818181818,4.75,5.26666666666667,4.5,4.15789473684211,NA,5.26315789473684,5.33333333333333,4.22222222222222,4.95,4.05,4.6,5.35714285714286,3.57894736842105,4.52941176470588,4.65,5.11111111111111,5
"E_M_Russell_Howard.png",5.23076923076923,4.18181818181818,4.72727272727273,5.0625,3.71428571428571,4.78947368421053,5.05555555555556,5.26315789473684,NA,3.94444444444444,4.38888888888889,4.94736842105263,4.42105263157895,4.86666666666667,4.71428571428571,4.26315789473684,4.41176470588235,5.15789473684211,5.17647058823529,4.05263157894737
"E_M_Simon_Pegg.png",5.46153846153846,5.18181818181818,5.1,5.1875,4.07142857142857,4.05555555555556,4.82352941176471,5.33333333333333,3.94444444444444,NA,3.94117647058824,4.38888888888889,3.94444444444444,4.71428571428571,4.69230769230769,4.61111111111111,3.6875,4.83333333333333,5.125,4
