RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
2327,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
8198,E_M_Hugh_Grant.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
5056,E_M_anthony_hopkins.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
4070,E_M_liam_neeson.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
4301,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
7535,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
6023,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
4749,E_F_Kate_Winslet.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
19072,E_M_liam_neeson.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
2549,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
3468,E_M_robert_de_niro.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
2828,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
6678,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
4433,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
4244,E_F_jennifer_aniston.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
4925,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
3821,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
2271,E_M_Martin_Freeman.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
7273,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
2712,P_F_PRITI_PATEL.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
17829,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
8867,E_M_anthony_hopkins.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
10844,E_F_Kate_Winslet.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
4127,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
3192,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
9749,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
4391,E_M_Hugh_Grant.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
7561,E_M_nicolas_cage.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
2131,E_M_anthony_hopkins.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
7815,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
4419,P_F_angela_rayner.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
3787,E_M_anthony_hopkins.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
