RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
3618,E_M_liam_neeson.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
3528,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
5953,E_M_liam_neeson.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4948,E_F_Judi_Dench.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4605,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
3916,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
3871,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4679,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4721,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
5364,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
5095,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
3544,E_F_angelina_jolie.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4220,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4703,P_F_angela_rayner.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
5756,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4429,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
