RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c3d19e75f5dca00019abdbd,"11/30/2021, 14:41:44"
3538,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c3d19e75f5dca00019abdbd,"11/30/2021, 14:41:44"
8601,E_M_liam_neeson.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c3d19e75f5dca00019abdbd,"11/30/2021, 14:41:44"
6309,E_M_Martin_Freeman.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c3d19e75f5dca00019abdbd,"11/30/2021, 14:41:44"
5823,E_M_Hugh_Grant.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c3d19e75f5dca00019abdbd,"11/30/2021, 14:41:44"
5851,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c3d19e75f5dca00019abdbd,"11/30/2021, 14:41:44"
6834,E_F_keira_knightley.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c3d19e75f5dca00019abdbd,"11/30/2021, 14:41:44"
4270,E_M_tom_hankes.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c3d19e75f5dca00019abdbd,"11/30/2021, 14:41:44"
5811,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c3d19e75f5dca00019abdbd,"11/30/2021, 14:41:44"
6671,P_F_PRITI_PATEL.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c3d19e75f5dca00019abdbd,"11/30/2021, 14:41:44"
5714,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c3d19e75f5dca00019abdbd,"11/30/2021, 14:41:44"
4055,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c3d19e75f5dca00019abdbd,"11/30/2021, 14:41:44"
3829,E_M_Martin_Freeman.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c3d19e75f5dca00019abdbd,"11/30/2021, 14:41:44"
4802,E_M_Martin_Freeman.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c3d19e75f5dca00019abdbd,"11/30/2021, 14:41:44"
7227,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c3d19e75f5dca00019abdbd,"11/30/2021, 14:41:44"
5490,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c3d19e75f5dca00019abdbd,"11/30/2021, 14:41:44"
