RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2134,P_F_PRITI_PATEL.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
3776,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2136,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
5358,E_M_robert_de_niro.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
3512,E_F_Kate_Winslet.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2439,E_M_liam_neeson.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2431,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2302,P_F_angela_rayner.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2246,E_F_Judi_Dench.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1992,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2055,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
3530,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2218,E_F_angelina_jolie.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2758,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2430,E_M_anthony_hopkins.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2103,P_F_angela_rayner.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2273,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2342,P_F_angela_rayner.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2116,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2074,E_F_sandra_bullock.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1989,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1785,E_F_Kate_Winslet.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1775,E_M_liam_neeson.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1796,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1754,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2375,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2503,E_M_Hugh_Grant.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
4980,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2865,E_M_liam_neeson.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2035,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
