RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
14385,E_M_liam_neeson.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
3884,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2493,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
3153,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
4645,P_F_angela_rayner.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2438,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2684,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2229,E_M_Martin_Freeman.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
4568,E_M_liam_neeson.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1875,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2659,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
3626,E_F_angelina_jolie.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2186,E_F_keira_knightley.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1767,E_M_anthony_hopkins.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
4576,E_M_Martin_Freeman.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1809,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1648,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1826,E_F_Judi_Dench.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2743,E_M_anthony_hopkins.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1515,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
